iter	Passed	Remaining
751	2952	973
752	2956	969
753	2960	965
754	2964	962
755	2968	958
756	2972	954
757	2976	950
758	2980	946
759	2984	942
760	2988	938
761	2992	934
762	2996	930
763	3000	926
764	3004	922
765	3008	919
766	3012	915
767	3017	911
768	3021	907
769	3024	903
770	3029	899
771	3032	895
772	3037	891
773	3041	887
774	3044	883
775	3048	880
776	3052	876
777	3056	872
778	3059	868
779	3063	864
780	3066	859
781	3070	855
782	3074	851
783	3077	847
784	3081	844
785	3085	840
786	3089	836
787	3093	832
788	3097	828
789	3101	824
790	3105	820
791	3110	816
792	3114	813
793	3119	809
794	3123	805
795	3127	801
796	3130	797
797	3134	793
798	3138	789
799	3141	785
800	3145	781
801	3149	777
802	3153	773
803	3157	769
804	3160	765
805	3164	761
806	3168	757
807	3172	753
808	3177	750
809	3181	746
810	3185	742
811	3189	738
812	3193	734
813	3197	730
814	3201	726
815	3205	722
816	3208	718
817	3212	714
818	3216	710
819	3220	706
820	3224	703
821	3228	699
822	3232	695
823	3236	691
824	3240	687
825	3245	683
826	3249	679
827	3253	675
828	3257	672
829	3261	668
830	3265	664
831	3270	660
832	3274	656
833	3278	652
834	3281	648
835	3285	644
836	3289	640
837	3294	636
838	3298	632
839	3302	629
840	3306	625
841	3310	621
842	3313	617
843	3317	613
844	3321	609
845	3324	605
846	3328	601
847	3332	597
848	3335	593
849	3339	589
850	3343	585
851	3347	581
852	3351	577
853	3354	573
854	3358	569
855	3361	565
856	3366	561
857	3369	557
858	3373	553
859	3377	549
860	3380	545
861	3384	541
862	3388	537
863	3392	533
864	3395	529
865	3399	526
866	3403	522
867	3407	518
868	3410	514
869	3414	510
870	3418	506
871	3421	502
872	3425	498
873	3429	494
874	3433	490
875	3437	486
876	3441	482
877	3445	478
878	3449	474
879	3453	470
880	3457	466
881	3461	463
882	3465	459
883	3469	455
884	3473	451
885	3476	447
886	3481	443
887	3484	439
888	3488	435
889	3492	431
890	3496	427
891	3500	423
892	3504	419
893	3507	415
894	3511	411
895	3515	408
896	3519	404
897	3523	400
898	3527	396
899	3531	392
900	3535	388
901	3540	384
902	3544	380
903	3548	376
904	3553	372
905	3557	369
906	3561	365
907	3565	361
908	3569	357
909	3574	353
910	3578	349
911	3583	345
912	3587	341
913	3591	337
914	3595	334
915	3599	330
916	3603	326
917	3608	322
918	3612	318
919	3616	314
920	3621	310
921	3625	306
922	3630	302
923	3635	299
924	3639	295
925	3643	291
926	3647	287
927	3651	283
928	3656	279
929	3659	275
930	3663	271
931	3668	267
932	3672	263
933	3676	259
934	3680	255
935	3684	251
936	3689	248
937	3693	244
938	3697	240
939	3701	236
940	3705	232
941	3709	228
942	3713	224
943	3717	220
944	3721	216
945	3725	212
946	3729	208
947	3733	204
948	3737	200
949	3740	196
950	3744	192
951	3763	189
952	3767	185
953	3772	181
954	3776	177
955	3780	173
956	3784	170
957	3787	166
958	3791	162
959	3795	158
960	3799	154
961	3803	150
962	3808	146
963	3811	142
964	3821	138
965	3825	134
966	3830	130
967	3834	126
968	3838	122
969	3842	118
970	3846	114
971	3850	110
972	3853	106
973	3857	102
974	3861	99
975	3865	95
976	3868	91
977	3872	87
978	3875	83
979	3879	79
980	3883	75
981	3886	71
982	3890	67
983	3893	63
984	3897	59
985	3901	55
986	3905	51
987	3908	47
988	3912	43
989	3915	39
990	3919	35
991	3922	31
992	3926	27
993	3930	23
994	3933	19
995	3937	15
996	3940	11
997	3944	7
998	3948	3
999	3951	0
